"Informational Round ","Opponent","Srv","KP (B)","Members","Recommendations Tuck? (y)","Heroes","Flags","Secondary Recs (optional) Heroes","Heroes","Results Win (w/l)","Opp KP","Opp Mem","Us KP","Us Mem","","","","","","","","","",""
"1","Duellatores","634","165","","","13","c","","","","","","","","","","","","","","","","",""
"2","Bloodlust","535","547","","y","","","","","","","","","","","","","","","","","","",""
"3","EagleFang","649","135","","","20","c","","","","","","","","","","","","","","","","",""
"4","Rebels","403","82.7","","","21","*","","","","","","","","","","","","","","","","",""
"5","Knightmare","551","140","","","16","c","","","","","","","","","","","","","","","","",""
"6","BloodBath&Beyond","571","159","","","14","c","","","","","","","","","","","","","","","","",""
"7","Legendary","442","206","","","10,11","s","","","","","","","","","","","","","","","","",""
"8","BloodBath&Beyond","571","159","","","15","c","","","","","","","","","","","","","","","","",""
"9","Rebels","403","82.7","","","22","*","","","","","","","","","","","","","","","","",""
"10","FreeFall Rats","365","611","","y","","","","","","","","","","","","","","","","","","",""
"11","Dominion","515","213","","","9","c","","","","","","","","","","","","","","","","",""
"12","Resonance","616","19.8","","","26","*","","","","","","","","","","","","","","","","",""
"13","Darkside","649","314","","y","","","","","","","","","","","","","","","","","","",""
"14","Seriously Fluffy","616","140","","","17","c","","","","","","","","","","","","","","","","",""
"15","FvK","551","593","","y","","","","","","","","","","","","","","","","","","",""
"16","Phoenix","442","70.5","","","23","*","","","","","","","","","","","","","","","","",""
"17","Knightmare","551","140","","","18","c","","","","","","","","","","","","","","","","",""
"18","Warlords","421","27.3","","","25","*","","","","","","","","","","","","","","","","",""
"19","Atlantis","634","7.55","","","27","*","","","","","","","","","","","","","","","","",""
"20","FreeFall Rats","365","611","","","5","c","","","","","","","","","","","","","","","","",""
"21","Seriously Fluffy","616","140","","","19","c","","","","","","","","","","","","","","","","",""
"22","Legendary","442","206","","","12","c","","","","","","","","","","","","","","","","",""
"23","FvK","551","593","","","6","c","","","","","","","","","","","","","","","","",""
"24","The Jungle","495","249","","","7,8","s","","","","","","","","","","","","","","","","",""
"25","Phoenix","442","70.5","","","24","*","","","","","","","","","","","","","","","","",""
"26","Top 32","","","","","","","","","","","","","","","","","","","","","","",""
"27","Top 16","","","","","","","","","","","","","","","","","","","","","","",""
"27","Top 8","","","","","","","","","","","","","","","","","","","","","","",""
"28","Top 4","","","","","","","","","","","","","","","","","","","","","","",""
"30","Top 2","","","","","","","","","","","","","","","","","","","","","","",""
"","Notes
Saving 4
Suprising 2","","","","","","","","","","","","","","","","","","","","","","",""
