ALLIANCE CHAMPIONSHIP ,,,,,,,,,,,,
12/03/2023 - RESULTS,,,,,,,,,,,,
,,,,,RF,RF ,,TOTAL ,TOTAL,RF HERO,FLAG,COMMENTS
ROUND ,OPPONENET,SERVER,JOINED,STRENGTH,HEROES,STRENGTH,RESULT,STRENGTH,MEMBERS,RECOMMENDATION,RECOMMENDATION,
,,,MEMBERS,BILLION,,BILLION,,BILLION,,,,
,,,,,,,,,,,,
1,GODS OF WAR,365,,,,,,80,26,,,EASY
2,FIRELINK,386,,,,,,374,43,,,TUCK
3,KNIG HANNOVER,300,,,,,,172,41,,,
4,CAMELOT,386,,,,,,277,43,,,
5,BROCH TUARACH,348,,,,,,25,14,,,EASY
6,BROCH TUARACH,348,,,,,,25,14,,,EASY
7,LEGION - AWOLVES,409,,,,,,57,29,,,EASY
8,BLOOD MASTERS,336,,,,,,2.63,24,,,EASY
9,VIKINGS,381,,,,,,83,38,,,EASY
10,TROY ,391,,,,,,208,42,,,
11,CARNAGE LEGION,370,,,,,,43,20,,,EASY
12,KNIG HANNOVER,300,,,,,,172,41,,,
13,DARK EMPIRE,403,,,,,,535,43,,,TUCK
14,SNIPERS,348,,,,,,133,39,,,
15,REBELS,403,,,,,,120,30,,,
16,ROYAL TEA ,391,,,,,,20,20,,,EASY
17,BUSHIDO WARRIORS,365,,,,,,83,42,,,EASY
18,TROY ,391,,,,,,208,42,,,
19,ODYSSEY,365,,,,,,3.2,3,,,EASY
20,TROY ,391,,,,,,208,42,,,
21,FREE FALL RATS,370,,,,,,372,43,,,TUCK
22,FIREHAWX,324,,,,,,283,43,,,
23,NICKS PIZZA,374,,,,,,36.4,,,,EASY
24,KINGSGUARD,381,,,,,,29,27,,,EASY
25,ORDO TENEBRIS,397,,,,,,353,41,,,
TOP 32,,,,,,,,,,,,
TOP 16,,,,,,,,,,,,
TOP 8,,,,,,,,,,,,
TOP 4,,,,,,,,,,,,
