"ROUND  ","OPPONENET ","SERVER ","JOINED MEMBERS ","STRENGTH BILLION ","LF HEROES ","LF STRENGTH BILLION ","RESULT ","TOTAL  STRENGTH BILLION ","TOTAL MEMBERS ","LF HERO RECOMMENDATION ","FLAG RECOMMENDATION "
"1","CLESTIAL DRAGONS","409","","","","","","507","43","",""
"2","CHAOS RISING","616","","","","","","533","43","",""
"3","BLACKGATE ASYLUM","634","","","","","","75","25","",""
"4","FIREHAWX","324","","","","","","331","42","",""
"5","SERIOUSLY FLUFFY","616","","","","","","119","41","",""
"6","THE ROMAN HEARTS","535","","","","","","200","40","",""
"7","DARK TEMPLARS","381","","","","","","146","38","",""
"8","THE ICE BOX","352","","","","","","610","43","",""
"9","BLOODBATH & BEYOND","571","","","","","","148","43","",""
"10","CAMELOT","332","","","","","","315","42","",""
"11","VINDICTA","515","","","","","","178","43","",""
"12","RUTHLESS","324","","","","","","370","43","",""
"13","HYDRA","571","","","","","","424","43","",""
"14","DEUS NEX","592","","","","","","598","43","",""
"15","THE RED PALACE","476","","","","","","75","38","",""
"16","LEVIATHAN","515","","","","","","653","43","",""
"17","THE EMPIRE","381","","","","","","512","43","",""
"18","FEAR","551","","","","","","335","43","",""
"19","THE FORESAKEN","495","","","","","","258","43","",""
"20","MARIJUANA","340","","","","","","125","41","",""
"21","ODIN'S WRATH","476","","","","","","95","24","",""
"22","FIREHAWX","324","","","","","","331","42","",""
"23","THE ROMAN HEARTS","535","","","","","","200","40","",""
"24","VINDICTA","515","","","","","","178","43","",""
"25","WOE THE FOES","352","","","","","","109","32","",""
