ALLIANCE CHAMPIONSHIP ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,RF,RF ,,TOTAL ,TOTAL,RF HERO,FLAG,COMMENTS
ROUND ,OPPONENET,SERVER,JOINED,STRENGTH,HEROES,STRENGTH,RESULT,STRENGTH,MEMBERS,RECOMMENDATION,RECOMMENDATION,
,,,MEMBERS,BILLION,,BILLION,,BILLION,,,,
,,,,,,,,,,,,
1,FREEFALL RATS,370,,,,,,190,,,,
2,PARA BELLUM,365,,,,,,205,,,,
3,THE EMPIRE,381,,,,,,321,,,,
4,NO REMORSE,409,,,,,,188,,,,
5,THE FORSAKEN,495,,,,,,158,,,,
6,DEATH KNIGHTS,515,,,,,,2.42,,,,
7,CELESTIALDRAGONS,409,,,,,,310,,,,
8,WINTER WOLVES,421,,,,,,56.8,,,,
9,LEGENDARY,442,,,,,,57.8,,,,
10,LEGENDARY,442,,,,,,57.8,,,,
11,RED RIBBON ARMY,431,,,,,,72.7,,,,
12,ROLLING THUNDER,476,,,,,,18.5,,,,
13,PLATINUM FORCE,476,,,,,,62.8,,,,
14,WARLORDS,421,,,,,,89.4,,,,
15,DEGENERATE PACK,340,,,,,,28.4,,,,
16,WOE THE FOES,358,,,,,,246,,,,
17,ASCENSION FORCE,352,,,,,,23.7,,,,
18,ORTHODOX,476,,,,,,240,,,,
19,THE FIRST LEGION,462,,,,,,23.7,,,,
20,VINDICTA,523,,,,,,125,,,,
21,THE ICE BOX,352,,,,,,296,,,,
22,PEOPLES ALLIANCE,397,,,,,,118,,,,
23,CTUHLLU EMPIRE,370,,,,,,12.7,,,,
24,SPARTAN SWORDS,415,,,,,,91.3,,,,
25,GODS OF WAR,365,,,,,,68.4,,,,
TOP 32,,,,,,,,,,,,
TOP 16,,,,,,,,,,,,
TOP 8,,,,,,,,,,,,
TOP 4,,,,,,,,,,,,
